NumeroHomologacao;DataEmissaoHomologacao;TipodeProduto;Modelo;NomeComercial;ModoOperacao5G;Fabricante
007462403109;2024-03-19;Telefone Móvel Celular;ASUS_AI2401_H;Zenfone 11;Ambos (SA / NSA);Asustek Computer Inc.
007442200330;2023-02-08;Telefone Móvel Celular;XT2203-1;Motorola Edge 30;Ambos (SA / NSA);Motorola Mobility LLC
006002106667;2024-11-14;Telefone Móvel Celular;LENOVO L79031;LEGION PHONE DUEL;Non-standalone (NSA);Lenovo PC HK Limited.
005372209185;2022-07-28;Telefone Móvel Celular;2201123G;Xiaomi 12;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
004972400330;2024-10-11;Telefone Móvel Celular;XT2403-2;motorola edge 50 pro;Ambos (SA / NSA);Motorola Mobility LLC
004312200953;2022-03-09;Telefone Móvel Celular;SM-A226BR/DSN;;Non-standalone (NSA);Samsung Electronics Co Ltd.
004002213366;2022-03-07;Telefone Móvel Celular;RMX3301;(realme GT 2 Pro);Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
003792000330;2022-02-11;Telefone Móvel Celular;XT2061-3;Motorola Edge Plus;Non-standalone (NSA);Motorola Mobility LLC
003172414862;2024-03-07;Telefone Móvel Celular;CPH2603;OPPO Reno11 F 5G;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
003132414862;2024-03-06;Telefone Móvel Celular;CPH2557;OPPO A79 5G;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
002852413366;2024-05-13;Telefone Móvel Celular;RMX3999;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
002822200953;2022-03-09;Telefone Móvel Celular;SM-A736B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
001472314550;2023-03-03;Telefone Móvel Celular;22101320G;POCO X5 PRO 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
000512201993;2024-04-03;Telefone Móvel Celular;A2783;iPhone SE;Ambos (SA / NSA);Apple Inc.
000022416471;2024-09-24;Telefone Móvel Celular;NX769J;REDMAGIC 9 PRO;Ambos (SA / NSA);Nubia Technology Co., Ltd.
000022416471;2024-09-24;Telefone Móvel Celular;NX769J;REDMAGIC 9S PRO;Ambos (SA / NSA);Nubia Technology Co., Ltd.
